article_number,Current_Turn,Previous_Turns,Type_of_Thought/Belief
193,"B: You might think it’s all useless now, but this experience is necessary for your professional growth.",A: I always end up being assigned these small tasks that seem pointless... B: Have you considered the skill set you’re building though?,Intermediate Belief
194,A: I feel like making a mistake here just proves I'm incapable of managing my duties.,"A: I’m really worried about messing up this project... B: Everyone makes errors sometimes, it's part of the learning process.",Intermediate Belief
195,"B: I'm so embarrassed, I can't do anything right.",A: Why do you look so down today? B: I just spilled my coffee all over the report I worked on all night.,Intermediate Belief
196,"B: Life is always going to be a struggle, and there's nothing I can do to change that.","A: You've been looking gloomy lately, what's on your mind? B: Just the usual... feels like every day is harder than the last.",Core Belief
197,"A: Every time I start a new project, I just freeze up. I can’t seem to get anything done.",A: I'm struggling at work... B: What happens when you're given a task?,Automatic Thought
198,A: I guess I just believe that no one really understands me or cares about what I have to say.,A: I tend to avoid social situations... B: Why do you think that is?,Intermediate Belief
199,A: I can't shake the feeling that I'll be abandoned again if I get too close to someone.,A: My past relationships have all ended with me being left alone... B: That sounds incredibly difficult to have gone through.,Core Belief
200,"A: Deep down, I'm convinced that I'm simply unlovable and that's why I always end up alone.",A: I just don’t understand why every relationship I'm in ends in breakup... B: It seems like you're carrying a lot of pain from those experiences.,Core Belief
201,I'm such a disappointment; everything I touch just falls apart.,"Therapist: So, tell me about your week. Patient: I tried working on my project, but nothing went right.",Intermediate Belief
202,"No one loves me, and I'll always be alone.",Patient: It seems like all my relationships fail. Therapist: Do you see a common pattern in these relationships?,Core Belief
203,A: I just avoided going out again. I don't know why I even bother trying to socialize.,A: I really wanted to go to that party... B: But you didn't end up going? That's too bad!,Automatic Thought
204,A: I suppose everything I achieve is just luck. I really am not smart enough on my own.,"A: My last project was a success... B: That's great, your hard work is paying off!",Intermediate Belief
205,"It's just that I mess up on the smallest things, and it makes me feel like a complete idiot.",A: I had a bad day; I missed up during my presentation today. B: Was it a significant mistake?,Automatic Thought
206,A: I can never trust anyone because people are just out to hurt me.,"A: I just found out my friend has been talking behind my back. B: That sounds hurtful, but does that mean you can't trust anyone?",Intermediate Belief
207,"A: Every time I start a task, I get this sense of dread that it won't turn out right no matter what.",A: I'm struggling with procrastination... B: Is there something particular you're worried about?,Automatic Thought
208,"A: I just bombed the interview, I can’t do anything correctly.",A: I get so nervous with public speaking... B: What are you feeling right now?,Automatic Thought
209,"A: Even when things go right, I can't shake off the feeling that I'll eventually disappoint everyone.","A: I managed to secure the contract we've been after for months... B: That's great news, you should feel proud!",Intermediate Belief
210,"A: I sometimes think if I don't succeed in this project, it proves I'm not that skilled.","A: The project I'm working on is challenging, and I'm worried... B: You're well-trained for this though, isn't it?",Intermediate Belief
211,"A: Every time I start a new relationship, I just wait for it to go wrong.","A: I don't know, I just don't feel lucky in love. B: Have you had bad experiences in the past?",Automatic Thought
212,"A: I feel like I'm fundamentally unlovable, like I'm not worth anyone's time.","A: I've been single for years now, it's starting to get to me. B: Have you thought about why that might be the case?",Core Belief
213,A: I always mess things up in my relationships because I'm just unlovable.,A: Another failed date last night... B: Sorry to hear that. Do you know why it didn't work out?,Core Belief
214,A: I felt so stupid when I gave the wrong answer - everyone probably thinks I'm an idiot now.,"A: We had a team quiz at work today. B: Oh, that sounds like fun! How did it go?",Automatic Thought
215,A: I start to assume that I will always be the one who has to adjust to accommodate others.,A: I felt like I couldn't say no to my boss's overtime request again... B: Have you noticed a pattern where you often agree to things you're not comfortable with?,Intermediate Belief
216,"A: Sometimes I think if I don't solve a problem perfectly, it means I'm incompetent.","A: I was upset about that mistake in my report... B: It was a small mistake, did anyone else comment on it?",Intermediate Belief
217,B: But doesn't everyone occasionally make mistakes at work?,"A: I made an error in the report and now I believe I'm just terrible at my job... B: It was a single mistake, wasn't it?",Intermediate Belief
